Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
AEP^B,"American Electric Power Company, Inc.",49.23,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aep^b
AEP^C,"American Electric Power Company, Inc.",49.15,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/aep^c
AER,Aercap Holdings N.V.,29.78,$3.86B,2006,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer
AERI,"Aerie Pharmaceuticals, Inc.",11.1,$516.31M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri
AES,The AES Corporation,18.18,$12.09B,n/a,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/aes
AESE,"Allied Esports Entertainment, Inc.",1.64,$47.86M,2017,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/aese
AEY,"ADDvantage Technologies Group, Inc.",2.12,$24.99M,n/a,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey
AEYE,"AudioEye, Inc.",17.97,$167.13M,n/a,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aeye
AEZS,AEterna Zentaris Inc.,0.4414,$27.67M,n/a,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs
AFB,Alliance National Municipal Income Fund Inc,13.86,$398.4M,2002,n/a,n/a,https://old.nasdaq.com/symbol/afb
AFC,Ares Capital Corporation,25.9,n/a,n/a,n/a,n/a,https://old.nasdaq.com/symbol/afc
AFG,"American Financial Group, Inc.",67.18,$5.95B,n/a,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg
AFGB,"American Financial Group, Inc.",27.46,n/a,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb
AFGC,"American Financial Group, Inc.",26.6,$26.55M,2019,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc
